receptor,ligand,n_db,m_r_score,m_l_score,m_r_lfc,m_l_lfc,h_r_score,h_l_score,h_r_lfc,h_l_lfc,m_strict,h_strict,conservation,m_mismatch_score,h_mismatch_score,avg_mismatch_score
CCR3,CXCL9,4,-0.01,3.62,-0.28,1.56,0.04,-0.18,0.7289,-1.3848,no,trend,human_only,0.0,0.0005,0.0003
CXCR3,CXCL9,5,-0.11,3.62,-5.2,1.56,0.07,-0.18,2.4483,-1.3848,no,trend,human_only,0.0,0.0006,0.0003
EGFR,DCN,4,36.78,,9.12,,-0.87,-0.78,-0.0943,-0.1678,no_data,no,neither,0.0,0.0,0.0
ERBB4,DCN,4,-0.17,,-1.86,,-2.58,-0.78,-0.0342,-0.1678,no_data,no,neither,0.0,0.0,0.0
MET,DCN,4,-5.92,,-2.83,,1.98,-0.78,0.1141,-0.1678,no_data,trend,human_only,0.0,0.0069,0.0035
CCR6,DEFB1,4,0.01,-0.02,0.24,-5.67,0.11,-0.01,0.9048,-17.3654,trend,trend,CONSERVED_relaxed,0.0001,0.0003,0.0002
CCR2,DEFB103A,4,-0.19,,-3.47,,0.0,,-0.1161,,no_data,no,neither,0.0,0.0,0.0
CCR6,DEFB103A,4,0.01,,0.24,,0.11,,0.9048,,no_data,no,neither,0.0,0.0,0.0
CCR6,DEFB4B,4,0.01,,0.24,,0.11,0.04,0.9048,19.7569,no_data,no,neither,0.0,0.0,0.0
TLR4,DEFB4B,4,-0.74,,-7.55,,0.33,0.04,0.322,19.7569,no_data,no,neither,0.0,0.0,0.0
BOC,DHH,4,21.5,0.65,1.77,-0.06,2.3,0.09,0.1799,0.552,no,no,neither,0.0,0.0,0.0
CDON,DHH,4,1.08,0.65,-10.34,-0.06,2.48,0.09,0.2178,0.552,no,no,neither,0.0,0.0,0.0
HHIP,DHH,5,-0.07,0.65,-0.88,-0.06,2.42,0.09,1.4021,0.552,no,no,neither,0.0,0.0,0.0
PTCH1,DHH,4,7.26,0.65,-3.39,-0.06,0.57,0.09,0.1503,0.552,no,no,neither,0.0,0.0,0.0
PTCH2,DHH,4,2.52,0.65,-1.5,-0.06,-0.17,0.09,-0.2018,0.552,no,no,neither,0.0,0.0,0.0
KREMEN1,DKK1,4,14.56,0.05,-1.89,-0.04,4.47,-0.07,0.5721,-1.6275,no,trend,human_only,0.0,0.0113,0.0057
KREMEN2,DKK1,4,0.02,0.05,-1.48,-0.04,0.13,-0.07,1.6879,-1.6275,no,trend,human_only,0.0,0.0005,0.0002
LRP5,DKK1,5,22.27,0.05,1.94,-0.04,2.13,-0.07,0.4678,-1.6275,no,trend,human_only,0.0,0.0055,0.0028
LRP6,DKK1,5,42.56,0.05,12.87,-0.04,1.67,-0.07,0.1581,-1.6275,no,trend,human_only,0.0,0.0044,0.0022
KREMEN2,DKK2,4,0.02,12.03,-1.48,6.94,0.13,-0.1,1.6879,-0.353,no,trend,human_only,0.0,0.0006,0.0003
LRP6,DKK2,5,42.56,12.03,12.87,6.94,1.67,-0.1,0.1581,-0.353,no,trend,human_only,0.0,0.0044,0.0022
NOTCH1,DLK1,4,28.94,0.42,4.4,-0.72,1.81,,0.7993,,no,no,neither,0.0,0.0,0.0
NOTCH2,DLK1,3,26.22,0.42,-0.32,-0.72,0.56,,0.0074,,no,no,neither,0.0,0.0,0.0
NOTCH3,DLK1,3,32.63,0.42,5.47,-0.72,0.68,,0.9111,,no,no,neither,0.0,0.0,0.0
NOTCH1,DLK2,4,28.94,0.77,4.4,1.03,1.81,0.12,0.7993,1.2083,no,no,neither,0.0,0.0,0.0
NOTCH1,DLL1,5,28.94,-0.52,4.4,-2.72,1.81,0.95,0.7993,0.3923,trend,no,mouse_only,0.0737,0.0,0.0368
NOTCH2,DLL1,5,26.22,-0.52,-0.32,-2.72,0.56,0.95,0.0074,0.3923,trend,no,mouse_only,0.0669,0.0,0.0334
NOTCH3,DLL1,5,32.63,-0.52,5.47,-2.72,0.68,0.95,0.9111,0.3923,trend,no,mouse_only,0.0829,0.0,0.0414
NOTCH4,DLL1,3,11.21,-0.52,1.47,-2.72,0.13,0.95,0.3283,0.3923,trend,no,mouse_only,0.0293,0.0,0.0147
NOTCH1,DLL3,3,28.94,-0.06,4.4,-0.7,1.81,0.01,0.7993,-0.2029,trend,no,mouse_only,0.0725,0.0,0.0363
NOTCH2,DLL3,3,26.22,-0.06,-0.32,-0.7,0.56,0.01,0.0074,-0.2029,trend,no,mouse_only,0.0657,0.0,0.0329
NOTCH3,DLL3,3,32.63,-0.06,5.47,-0.7,0.68,0.01,0.9111,-0.2029,trend,no,mouse_only,0.0817,0.0,0.0409
NOTCH4,DLL3,3,11.21,-0.06,1.47,-0.7,0.13,0.01,0.3283,-0.2029,trend,no,mouse_only,0.0282,0.0,0.0141
NOTCH1,DLL4,5,28.94,-1.91,4.4,-6.67,1.81,0.66,0.7993,1.1909,trend,no,mouse_only,0.0771,0.0,0.0386
NOTCH2,DLL4,4,26.22,-1.91,-0.32,-6.67,0.56,0.66,0.0074,1.1909,trend,no,mouse_only,0.0703,0.0,0.0352
NOTCH3,DLL4,4,32.63,-1.91,5.47,-6.67,0.68,0.66,0.9111,1.1909,trend,no,mouse_only,0.0863,0.0,0.0432
NOTCH4,DLL4,5,11.21,-1.91,1.47,-6.67,0.13,0.66,0.3283,1.1909,trend,no,mouse_only,0.0328,0.0,0.0164
DSG1,DSC1,3,,,,,0.1,0.78,0.7313,0.6691,no_data,no,neither,0.0,0.0,0.0
DSG2,DSC1,3,-4.31,,-2.04,,0.85,0.78,0.0874,0.6691,no_data,no,neither,0.0,0.0,0.0
DSG1,DSC2,3,,0.04,,-0.26,0.1,0.36,0.7313,0.0157,no_data,no,neither,0.0,0.0,0.0
DSG2,DSC2,3,-4.31,0.04,-2.04,-0.26,0.85,0.36,0.0874,0.0157,no,no,neither,0.0,0.0,0.0
DSG1,DSC3,3,,-0.63,,-1.68,0.1,3.93,0.7313,0.5335,no_data,no,neither,0.0,0.0,0.0
DSG2,DSC3,3,-4.31,-0.63,-2.04,-1.68,0.85,3.93,0.0874,0.5335,no,no,neither,0.0,0.0,0.0
IL27RA,EBI3,4,11.05,-0.25,-1.03,-2.3,0.31,-0.06,0.949,-0.9957,trend,trend,CONSERVED_relaxed,0.0283,0.0009,0.0146
IL6ST,EBI3,3,28.27,-0.25,5.93,-2.3,6.01,-0.06,0.3514,-0.9957,trend,trend,CONSERVED_relaxed,0.0713,0.0152,0.0432
EDA2R,EDA,4,7.33,-1.6,1.64,-6.54,0.0,9.62,-0.0533,0.6771,trend,no,mouse_only,0.0223,0.0,0.0112
EDAR,EDA,4,0.18,-1.6,6.45,-6.54,0.39,9.62,0.6817,0.6771,trend,no,mouse_only,0.0044,0.0,0.0022
ITGAV,EDIL3,3,71.96,3.9,50.48,3.09,1.38,-2.89,0.1033,-1.3692,no,trend,human_only,0.0,0.0107,0.0053
EDNRA,EDN1,5,34.58,24.98,10.08,5.79,0.47,-0.19,0.0527,-0.7693,no,trend,human_only,0.0,0.0016,0.0008
EDNRB,EDN1,5,-2.21,24.98,-8.49,5.79,-0.05,-0.19,-0.0425,-0.7693,no,no,neither,0.0,0.0,0.0
KEL,EDN1,4,,24.98,,5.79,0.96,-0.19,0.8915,-0.7693,no_data,trend,human_only,0.0,0.0029,0.0014
EDNRA,EDN2,5,34.58,-0.71,10.08,-3.24,0.47,-0.28,0.0527,-3.0498,trend,trend,CONSERVED_relaxed,0.0882,0.0019,0.0451
EDNRB,EDN2,5,-2.21,-0.71,-8.49,-3.24,-0.05,-0.28,-0.0425,-3.0498,no,no,neither,0.0,0.0,0.0
KEL,EDN2,4,,-0.71,,-3.24,0.96,-0.28,0.8915,-3.0498,no_data,trend,human_only,0.0,0.0031,0.0016
EDNRA,EDN3,5,34.58,-0.05,10.08,-2.53,0.47,-0.02,0.0527,-18.9188,trend,trend,CONSERVED_relaxed,0.0866,0.0012,0.0439
EDNRB,EDN3,5,-2.21,-0.05,-8.49,-2.53,-0.05,-0.02,-0.0425,-18.9188,no,no,neither,0.0,0.0,0.0
KEL,EDN3,4,,-0.05,,-2.53,0.96,-0.02,0.8915,-18.9188,no_data,trend,human_only,0.0,0.0025,0.0012
EGFR,EFEMP1,4,36.78,-62.74,9.12,-136.53,-0.87,10.51,-0.0943,0.5693,yes,no,mouse_only,0.2488,0.0,0.1244
AQP1,EFEMP2,3,5.64,126.3,-49.24,213.7,15.32,2.51,1.0334,0.4719,no,no,neither,0.0,0.0,0.0
PLSCR4,EFEMP2,3,-0.92,126.3,-28.43,213.7,-2.93,2.51,-0.1623,0.4719,no,no,neither,0.0,0.0,0.0
EPHA1,EFNA1,5,7.63,6.27,2.2,-5.8,-0.02,2.59,-0.2265,0.6904,no,no,neither,0.0,0.0,0.0
EPHA2,EFNA1,5,-1.05,6.27,-1.34,-5.8,-0.67,2.59,-0.3004,0.6904,no,no,neither,0.0,0.0,0.0
EPHA3,EFNA1,5,13.72,6.27,5.34,-5.8,0.67,2.59,0.218,0.6904,no,no,neither,0.0,0.0,0.0
EPHA4,EFNA1,5,9.31,6.27,-1.83,-5.8,5.04,2.59,0.7145,0.6904,no,no,neither,0.0,0.0,0.0
EPHA5,EFNA1,5,0.16,6.27,-1.08,-5.8,1.21,2.59,1.5723,0.6904,no,no,neither,0.0,0.0,0.0
EPHA6,EFNA1,4,,6.27,,-5.8,-0.82,2.59,-0.4209,0.6904,no_data,no,neither,0.0,0.0,0.0
EPHA7,EFNA1,5,57.53,6.27,31.96,-5.8,0.82,2.59,0.3969,0.6904,no,no,neither,0.0,0.0,0.0
EPHA8,EFNA1,5,-0.01,6.27,-2.12,-5.8,0.03,2.59,2.698,0.6904,no,no,neither,0.0,0.0,0.0
EPHB1,EFNA1,3,-1.15,6.27,-2.64,-5.8,1.67,2.59,0.7476,0.6904,no,no,neither,0.0,0.0,0.0
EPHA1,EFNA2,3,7.63,8.86,2.2,-1.9,-0.02,-0.03,-0.2265,-19.184,no,no,neither,0.0,0.0,0.0
EPHA2,EFNA2,5,-1.05,8.86,-1.34,-1.9,-0.67,-0.03,-0.3004,-19.184,no,no,neither,0.0,0.0,0.0
EPHA3,EFNA2,5,13.72,8.86,5.34,-1.9,0.67,-0.03,0.218,-19.184,no,trend,human_only,0.0,0.0018,0.0009
EPHA4,EFNA2,5,9.31,8.86,-1.83,-1.9,5.04,-0.03,0.7145,-19.184,no,trend,human_only,0.0,0.0127,0.0063
EPHA5,EFNA2,5,0.16,8.86,-1.08,-1.9,1.21,-0.03,1.5723,-19.184,no,trend,human_only,0.0,0.0031,0.0016
EPHA6,EFNA2,4,,8.86,,-1.9,-0.82,-0.03,-0.4209,-19.184,no_data,no,neither,0.0,0.0,0.0
EPHA7,EFNA2,5,57.53,8.86,31.96,-1.9,0.82,-0.03,0.3969,-19.184,no,trend,human_only,0.0,0.0021,0.0011
EPHA8,EFNA2,5,-0.01,8.86,-2.12,-1.9,0.03,-0.03,2.698,-19.184,no,trend,human_only,0.0,0.0002,0.0001
EPHA1,EFNA3,4,7.63,1.76,2.2,1.59,-0.02,-0.09,-0.2265,-20.8702,no,no,neither,0.0,0.0,0.0
EPHA2,EFNA3,5,-1.05,1.76,-1.34,1.59,-0.67,-0.09,-0.3004,-20.8702,no,no,neither,0.0,0.0,0.0
EPHA3,EFNA3,5,13.72,1.76,5.34,1.59,0.67,-0.09,0.218,-20.8702,no,trend,human_only,0.0,0.0019,0.001
EPHA4,EFNA3,5,9.31,1.76,-1.83,1.59,5.04,-0.09,0.7145,-20.8702,no,trend,human_only,0.0,0.0128,0.0064
EPHA5,EFNA3,5,0.16,1.76,-1.08,1.59,1.21,-0.09,1.5723,-20.8702,no,trend,human_only,0.0,0.0033,0.0016
EPHA6,EFNA3,4,,1.76,,1.59,-0.82,-0.09,-0.4209,-20.8702,no_data,no,neither,0.0,0.0,0.0
EPHA7,EFNA3,5,57.53,1.76,31.96,1.59,0.82,-0.09,0.3969,-20.8702,no,trend,human_only,0.0,0.0023,0.0011
EPHA8,EFNA3,5,-0.01,1.76,-2.12,1.59,0.03,-0.09,2.698,-20.8702,no,trend,human_only,0.0,0.0003,0.0002
EPHB1,EFNA3,4,-1.15,1.76,-2.64,1.59,1.67,-0.09,0.7476,-20.8702,no,trend,human_only,0.0,0.0044,0.0022
EPHA1,EFNA4,3,7.63,21.0,2.2,6.67,-0.02,0.14,-0.2265,0.2753,no,no,neither,0.0,0.0,0.0
EPHA2,EFNA4,5,-1.05,21.0,-1.34,6.67,-0.67,0.14,-0.3004,0.2753,no,no,neither,0.0,0.0,0.0
EPHA3,EFNA4,4,13.72,21.0,5.34,6.67,0.67,0.14,0.218,0.2753,no,no,neither,0.0,0.0,0.0
EPHA4,EFNA4,5,9.31,21.0,-1.83,6.67,5.04,0.14,0.7145,0.2753,no,no,neither,0.0,0.0,0.0
EPHA5,EFNA4,5,0.16,21.0,-1.08,6.67,1.21,0.14,1.5723,0.2753,no,no,neither,0.0,0.0,0.0
EPHA6,EFNA4,4,,21.0,,6.67,-0.82,0.14,-0.4209,0.2753,no_data,no,neither,0.0,0.0,0.0
EPHA7,EFNA4,5,57.53,21.0,31.96,6.67,0.82,0.14,0.3969,0.2753,no,no,neither,0.0,0.0,0.0
EPHA8,EFNA4,5,-0.01,21.0,-2.12,6.67,0.03,0.14,2.698,0.2753,no,no,neither,0.0,0.0,0.0
EPHA1,EFNA5,3,7.63,28.69,2.2,2.98,-0.02,-1.61,-0.2265,0.0673,no,no,neither,0.0,0.0,0.0
EPHA2,EFNA5,5,-1.05,28.69,-1.34,2.98,-0.67,-1.61,-0.3004,0.0673,no,no,neither,0.0,0.0,0.0
EPHA3,EFNA5,5,13.72,28.69,5.34,2.98,0.67,-1.61,0.218,0.0673,no,trend,human_only,0.0,0.0057,0.0028
EPHA4,EFNA5,5,9.31,28.69,-1.83,2.98,5.04,-1.61,0.7145,0.0673,no,trend,human_only,0.0,0.0166,0.0083
EPHA5,EFNA5,5,0.16,28.69,-1.08,2.98,1.21,-1.61,1.5723,0.0673,no,trend,human_only,0.0,0.007,0.0035
EPHA6,EFNA5,4,,28.69,,2.98,-0.82,-1.61,-0.4209,0.0673,no_data,no,neither,0.0,0.0,0.0
EPHA7,EFNA5,5,57.53,28.69,31.96,2.98,0.82,-1.61,0.3969,0.0673,no,trend,human_only,0.0,0.0061,0.003
EPHA8,EFNA5,5,-0.01,28.69,-2.12,2.98,0.03,-1.61,2.698,0.0673,no,trend,human_only,0.0,0.0041,0.0021
EPHB1,EFNA5,4,-1.15,28.69,-2.64,2.98,1.67,-1.61,0.7476,0.0673,no,trend,human_only,0.0,0.0082,0.0041
EPHB2,EFNA5,5,26.23,28.69,10.12,2.98,2.6,-1.61,0.5655,0.0673,no,trend,human_only,0.0,0.0105,0.0053
EPHB6,EFNA5,4,17.25,28.69,6.09,2.98,5.26,-1.61,0.4746,0.0673,no,trend,human_only,0.0,0.0172,0.0086
EPHA4,EFNB1,3,9.31,56.78,-1.83,24.02,5.04,0.72,0.7145,0.5749,no,no,neither,0.0,0.0,0.0
EPHB1,EFNB1,5,-1.15,56.78,-2.64,24.02,1.67,0.72,0.7476,0.5749,no,no,neither,0.0,0.0,0.0
EPHB2,EFNB1,5,26.23,56.78,10.12,24.02,2.6,0.72,0.5655,0.5749,no,no,neither,0.0,0.0,0.0
EPHB3,EFNB1,5,32.33,56.78,11.25,24.02,0.56,0.72,0.2887,0.5749,no,no,neither,0.0,0.0,0.0
EPHB4,EFNB1,5,13.64,56.78,-2.14,24.02,0.41,0.72,0.0846,0.5749,no,no,neither,0.0,0.0,0.0
EPHB6,EFNB1,5,17.25,56.78,6.09,24.02,5.26,0.72,0.4746,0.5749,no,no,neither,0.0,0.0,0.0
ERBB2,EFNB1,4,13.67,56.78,1.35,24.02,2.14,0.72,0.3404,0.5749,no,no,neither,0.0,0.0,0.0
EPHA3,EFNB2,4,13.72,5.13,5.34,-1.2,0.67,-2.44,0.218,-0.3635,no,trend,human_only,0.0,0.0078,0.0039
EPHA4,EFNB2,5,9.31,5.13,-1.83,-1.2,5.04,-2.44,0.7145,-0.3635,no,trend,human_only,0.0,0.0187,0.0093
EPHA6,EFNB2,4,,5.13,,-1.2,-0.82,-2.44,-0.4209,-0.3635,no_data,no,neither,0.0,0.0,0.0
EPHB1,EFNB2,5,-1.15,5.13,-2.64,-1.2,1.67,-2.44,0.7476,-0.3635,no,trend,human_only,0.0,0.0103,0.0051
EPHB2,EFNB2,5,26.23,5.13,10.12,-1.2,2.6,-2.44,0.5655,-0.3635,no,trend,human_only,0.0,0.0126,0.0063
EPHB3,EFNB2,5,32.33,5.13,11.25,-1.2,0.56,-2.44,0.2887,-0.3635,no,trend,human_only,0.0,0.0075,0.0037
EPHB4,EFNB2,5,13.64,5.13,-2.14,-1.2,0.41,-2.44,0.0846,-0.3635,no,trend,human_only,0.0,0.0071,0.0036
EPHB6,EFNB2,5,17.25,5.13,6.09,-1.2,5.26,-2.44,0.4746,-0.3635,no,trend,human_only,0.0,0.0193,0.0096
GRM1,EFNB2,4,0.17,5.13,-0.06,-1.2,0.03,-2.44,0.1321,-0.3635,no,trend,human_only,0.0,0.0062,0.0031
GRM5,EFNB2,4,,5.13,,-1.2,-0.08,-2.44,-0.4629,-0.3635,no_data,no,neither,0.0,0.0,0.0
PECAM1,EFNB2,4,-10.93,5.13,-36.28,-1.2,0.17,-2.44,-0.0344,-0.3635,no,trend,human_only,0.0,0.0065,0.0033
RHBDL2,EFNB2,4,-0.61,5.13,-1.25,-1.2,2.03,-2.44,0.4549,-0.3635,no,trend,human_only,0.0,0.0112,0.0056
EPHA4,EFNB3,5,9.31,0.28,-1.83,-1.0,5.04,2.54,0.7145,0.7634,no,no,neither,0.0,0.0,0.0
EPHB1,EFNB3,3,-1.15,0.28,-2.64,-1.0,1.67,2.54,0.7476,0.7634,no,no,neither,0.0,0.0,0.0
EPHB2,EFNB3,5,26.23,0.28,10.12,-1.0,2.6,2.54,0.5655,0.7634,no,no,neither,0.0,0.0,0.0
EPHB3,EFNB3,5,32.33,0.28,11.25,-1.0,0.56,2.54,0.2887,0.7634,no,no,neither,0.0,0.0,0.0
EPHB4,EFNB3,4,13.64,0.28,-2.14,-1.0,0.41,2.54,0.0846,0.7634,no,no,neither,0.0,0.0,0.0
EPHB6,EFNB3,3,17.25,0.28,6.09,-1.0,5.26,2.54,0.4746,0.7634,no,no,neither,0.0,0.0,0.0
RHBDL2,EFNB3,4,-0.61,0.28,-1.25,-1.0,2.03,2.54,0.4549,0.7634,no,no,neither,0.0,0.0,0.0
EGFR,EGF,5,36.78,2.18,9.12,0.57,-0.87,0.94,-0.0943,0.9229,no,no,neither,0.0,0.0,0.0
ERBB2,EGF,4,13.67,2.18,1.35,0.57,2.14,0.94,0.3404,0.9229,no,no,neither,0.0,0.0,0.0
ERBB3,EGF,4,0.05,2.18,-0.74,0.57,0.01,0.94,-0.0146,0.9229,no,no,neither,0.0,0.0,0.0
ERBB4,EGF,4,-0.17,2.18,-1.86,0.57,-2.58,0.94,-0.0342,0.9229,no,no,neither,0.0,0.0,0.0
EGFR,EPGN,5,36.78,0.07,9.12,-0.13,-0.87,5.11,-0.0943,0.8136,no,no,neither,0.0,0.0,0.0
EPOR,EPO,5,0.6,,-1.49,,0.2,0.03,0.3691,1.6339,no_data,no,neither,0.0,0.0,0.0
EGFR,EREG,5,36.78,23.19,9.12,9.61,-0.87,0.0,-0.0943,-0.0143,no,no,neither,0.0,0.0,0.0
ERBB4,EREG,5,-0.17,23.19,-1.86,9.61,-2.58,0.0,-0.0342,-0.0143,no,no,neither,0.0,0.0,0.0
F3,F10,4,-38.52,0.03,-72.96,-0.96,-0.42,0.64,-0.389,0.5899,no,no,neither,0.0,0.0,0.0
GP1BA,F11,4,-0.01,,-1.04,,-0.15,0.19,-1.2621,1.3888,no_data,no,neither,0.0,0.0,0.0
CD93,F12,3,-3.02,-0.01,-15.73,-2.8,0.72,0.13,0.5064,1.2194,no,no,neither,0.0,0.0,0.0
GP1BA,F12,4,-0.01,-0.01,-1.04,-2.8,-0.15,0.13,-1.2621,1.2194,no,no,neither,0.0,0.0,0.0
ITGA4,F13A1,4,0.71,-0.93,-0.63,-4.26,-0.12,1.02,-0.2517,0.8893,trend,no,mouse_only,0.0041,0.0,0.002
ITGA9,F13A1,4,35.45,-0.93,12.0,-4.26,0.41,1.02,0.0215,0.8893,trend,no,mouse_only,0.091,0.0,0.0455
ITGB1,F13A1,4,118.2,-0.93,334.47,-4.26,5.8,1.02,0.4347,0.8893,trend,no,mouse_only,0.2978,0.0,0.1489
F2R,F2,5,50.0,0.0,26.41,-1.0,-0.38,0.05,-0.9087,0.1279,no,no,neither,0.0,0.0,0.0
F2RL1,F2,4,1.31,0.0,-1.87,-1.0,0.42,0.05,1.0549,0.1279,no,no,neither,0.0,0.0,0.0
F2RL2,F2,5,0.71,0.0,1.66,-1.0,0.02,0.05,1.4738,0.1279,no,no,neither,0.0,0.0,0.0
F2RL3,F2,5,-0.01,0.0,-1.62,-1.0,0.05,0.05,1.5049,0.1279,no,no,neither,0.0,0.0,0.0
GP1BA,F2,4,-0.01,0.0,-1.04,-1.0,-0.15,0.05,-1.2621,0.1279,no,no,neither,0.0,0.0,0.0
GP9,F2,4,-0.01,0.0,-1.3,-1.0,-0.0,0.05,-16.1488,0.1279,no,no,neither,0.0,0.0,0.0
ITGA2B,F2,4,14.9,0.0,2.76,-1.0,0.84,0.05,0.92,0.1279,no,no,neither,0.0,0.0,0.0
THBD,F2,5,-47.43,0.0,-73.64,-1.0,0.28,0.05,0.2452,0.1279,no,no,neither,0.0,0.0,0.0
F3,F7,4,-38.52,0.5,-72.96,1.88,-0.42,0.18,-0.389,2.8374,no,no,neither,0.0,0.0,0.0
ASGR2,F8,4,0.52,2.46,2.36,0.59,0.1,1.51,1.8239,0.3661,no,no,neither,0.0,0.0,0.0
LDLR,F8,4,3.77,2.46,-11.72,0.59,0.49,1.51,0.1358,0.3661,no,no,neither,0.0,0.0,0.0
LRP1,F8,4,-46.22,2.46,-169.36,0.59,11.54,1.51,0.9567,0.3661,no,no,neither,0.0,0.0,0.0
LRP1,F9,4,-46.22,,-169.36,,11.54,-0.02,0.9567,-18.2538,no_data,trend,human_only,0.0,0.0289,0.0144
FAS,FASLG,5,52.68,,26.55,,-7.36,-0.02,-1.1167,-18.8307,no_data,no,neither,0.0,0.0,0.0
TNFRSF6B,FASLG,5,,,,,-0.25,-0.02,-0.9474,-18.8307,no_data,no,neither,0.0,0.0,0.0
DCHS1,FAT4,4,4.24,18.08,-7.57,5.67,0.48,3.41,0.5266,0.3554,no,no,neither,0.0,0.0,0.0
ITGB1,FBLN1,4,118.2,-47.12,334.47,-inf,5.8,4.19,0.4347,0.4657,yes,no,mouse_only,0.4133,0.0,0.2067
ITGB3,FBLN2,3,13.35,47.22,4.57,inf,0.53,0.75,0.295,0.121,no,no,neither,0.0,0.0,0.0
ITGA5,FBN1,4,33.0,161.14,17.47,inf,0.93,1.91,0.3136,0.1725,no,no,neither,0.0,0.0,0.0
ITGAV,FBN1,4,71.96,161.14,50.48,inf,1.38,1.91,0.1033,0.1725,no,no,neither,0.0,0.0,0.0
ITGB1,FBN1,4,118.2,161.14,334.47,inf,5.8,1.91,0.4347,0.1725,no,no,neither,0.0,0.0,0.0
ITGB3,FBN1,4,13.35,161.14,4.57,inf,0.53,1.91,0.295,0.1725,no,no,neither,0.0,0.0,0.0
LRP1,FCN2,4,-46.22,,-169.36,,11.54,,0.9567,,no_data,no,neither,0.0,0.0,0.0
CDH5,FGA,3,-5.37,,-24.12,,0.09,,0.024,,no_data,no,neither,0.0,0.0,0.0
ITGA2B,FGA,4,14.9,,2.76,,0.84,,0.92,,no_data,no,neither,0.0,0.0,0.0
ITGA5,FGA,4,33.0,,17.47,,0.93,,0.3136,,no_data,no,neither,0.0,0.0,0.0
ITGAM,FGA,4,-0.35,,-2.12,,0.34,,0.6314,,no_data,no,neither,0.0,0.0,0.0
ITGAV,FGA,4,71.96,,50.48,,1.38,,0.1033,,no_data,no,neither,0.0,0.0,0.0
ITGAX,FGA,4,-0.05,,-1.96,,0.09,,0.505,,no_data,no,neither,0.0,0.0,0.0
ITGB1,FGA,4,118.2,,334.47,,5.8,,0.4347,,no_data,no,neither,0.0,0.0,0.0
ITGB2,FGA,4,-0.42,,-1.87,,0.28,,0.6003,,no_data,no,neither,0.0,0.0,0.0
ITGB3,FGA,4,13.35,,4.57,,0.53,,0.295,,no_data,no,neither,0.0,0.0,0.0
ITGA2B,FGB,4,14.9,0.01,2.76,1.02,0.84,-0.0,0.92,-16.4018,no,trend,human_only,0.0,0.0021,0.0011
ITGA5,FGB,4,33.0,0.01,17.47,1.02,0.93,-0.0,0.3136,-16.4018,no,trend,human_only,0.0,0.0023,0.0012
ITGAM,FGB,4,-0.35,0.01,-2.12,1.02,0.34,-0.0,0.6314,-16.4018,no,trend,human_only,0.0,0.0008,0.0004
ITGAV,FGB,4,71.96,0.01,50.48,1.02,1.38,-0.0,0.1033,-16.4018,no,trend,human_only,0.0,0.0035,0.0017
ITGB1,FGB,4,118.2,0.01,334.47,1.02,5.8,-0.0,0.4347,-16.4018,no,trend,human_only,0.0,0.0145,0.0073
ITGB2,FGB,4,-0.42,0.01,-1.87,1.02,0.28,-0.0,0.6003,-16.4018,no,trend,human_only,0.0,0.0007,0.0004
CD44,FGF1,3,45.04,-3.96,65.3,-7.3,4.13,2.57,0.4064,0.8673,yes,no,mouse_only,0.1225,0.0,0.0613
FGFR1,FGF1,5,9.19,-3.96,-25.93,-7.3,7.1,2.57,0.5478,0.8673,yes,no,mouse_only,0.0329,0.0,0.0164
FGFR2,FGF1,5,12.09,-3.96,4.81,-7.3,3.48,2.57,0.3913,0.8673,yes,no,mouse_only,0.0401,0.0,0.0201
FGFR3,FGF1,5,1.08,-3.96,-1.07,-7.3,-0.09,2.57,-0.2593,0.8673,trend,no,mouse_only,0.0126,0.0,0.0063
FGFR4,FGF1,5,-0.0,-3.96,-0.58,-7.3,0.02,2.57,0.4177,0.8673,no,no,neither,0.0,0.0,0.0
NRP1,FGF1,4,-1.03,-3.96,-64.02,-7.3,2.15,2.57,0.2032,0.8673,no,no,neither,0.0,0.0,0.0
FGFR2,FGF10,5,12.09,-3.33,4.81,-5.09,3.48,-0.12,0.3913,-1.4958,yes,trend,CONSERVED_relaxed,0.0386,0.009,0.0238
SCN5A,FGF13,4,-0.15,-3.56,-1.31,-5.7,0.33,0.72,0.1504,0.2523,no,no,neither,0.0,0.0,0.0
SCN8A,FGF13,4,0.44,-3.56,0.58,-5.7,-0.29,0.72,-0.1412,0.2523,trend,no,mouse_only,0.01,0.0,0.005
FGFR2,FGF16,3,12.09,-4.05,4.81,-4.56,3.48,-0.02,0.3913,-18.6509,yes,trend,CONSERVED_relaxed,0.0403,0.0087,0.0245
FGFR3,FGF16,3,1.08,-4.05,-1.07,-4.56,-0.09,-0.02,-0.2593,-18.6509,trend,no,mouse_only,0.0128,0.0,0.0064
FGFR4,FGF16,3,-0.0,-4.05,-0.58,-4.56,0.02,-0.02,0.4177,-18.6509,no,trend,human_only,0.0,0.0001,0.0
FGFR1,FGF17,4,9.19,0.07,-25.93,1.55,7.1,0.2,0.5478,1.5971,no,no,neither,0.0,0.0,0.0
FGFR2,FGF17,4,12.09,0.07,4.81,1.55,3.48,0.2,0.3913,1.5971,no,no,neither,0.0,0.0,0.0
FGFR3,FGF17,5,1.08,0.07,-1.07,1.55,-0.09,0.2,-0.2593,1.5971,no,no,neither,0.0,0.0,0.0
FGFR4,FGF17,4,-0.0,0.07,-0.58,1.55,0.02,0.2,0.4177,1.5971,no,no,neither,0.0,0.0,0.0
